seq,etype,label,target_id,t_start_s,t_end_s,duration_s,lat_deg,lon_deg,value,data_duration_s,cooldown_s,time_window_enforced,scheduling_window_start_s,scheduling_window_end_s,station_id
0,observation,OBS_TGT1,TGT1,524.0252521631887,554.0252521631887,30.0,34.05,-118.25,10.0,30.0,0.0,True,390.0,780.0,
1,downlink,DL_GS1,,630.0,810.0,180.0,37.7749,-122.4194,,180.0,,,,,GS1
2,downlink,DL_GS1,,6318.0,6498.0,180.0,37.7749,-122.4194,,180.0,,,,,GS1
3,downlink,DL_GS2,,19296.0,19476.0,180.0,48.8566,2.3522,,180.0,,,,,GS2
4,downlink,DL_GS2,,24906.0,25086.0,180.0,48.8566,2.3522,,180.0,,,,,GS2
5,observation,OBS_TGT3,TGT3,28211.672163204552,28241.672163204552,30.0,-33.86,151.21,8.0,30.0,0.0,True,27900.0,28350.0,
6,downlink,DL_GS1,,48156.0,48336.0,180.0,37.7749,-122.4194,,180.0,,,,,GS1
7,downlink,DL_GS1,,53748.0,53928.0,180.0,37.7749,-122.4194,,180.0,,,,,GS1
8,downlink,DL_GS2,,58146.0,58326.0,180.0,48.8566,2.3522,,180.0,,,,,GS2
9,downlink,DL_GS2,,63816.0,63996.0,180.0,48.8566,2.3522,,180.0,,,,,GS2
10,downlink,DL_GS1,,86646.0,86826.0,180.0,37.7749,-122.4194,,180.0,,,,,GS1
11,downlink,DL_GS1,,92352.0,92532.0,180.0,37.7749,-122.4194,,180.0,,,,,GS1
12,downlink,DL_GS2,,105336.0,105516.0,180.0,48.8566,2.3522,,180.0,,,,,GS2
13,observation,OBS_TGT2,TGT2,109649.82633466167,109679.82633466167,30.0,35.68,139.69,15.0,30.0,0.0,True,109530.0,109710.0,
14,downlink,DL_GS2,,110940.0,111120.0,180.0,48.8566,2.3522,,180.0,,,,,GS2
